Date, Close/Last, Volume, Open, High, Low
09/10/2019, $287.99, 12320250, $291.16, $297.17, $282.6629
09/09/2019, $294.34, 8232744, $294.81, $301.55, $290.6
09/06/2019, $290.17, 5166556, $293.35, $293.35, $287.03
09/05/2019, $293.25, 8972356, $285.32, $293.97, $282.785
09/04/2019, $291.52, 4653665, $291.25, $292.38, $286.51
09/03/2019, $289.29, 3684177, $290.82, $293.9, $288.06
08/30/2019, $293.75, 4447990, $298.78, $298.94, $290.85
08/29/2019, $296.78, 4392532, $295, $299.93, $294.99
08/28/2019, $291.77, 3958043, $289.47, $292.82, $287.75
08/27/2019, $291.03, 6314559, $294.54, $296.77, $287.1968
08/26/2019, $294.98, 4696982, $295.24, $296.95, $292.5
08/23/2019, $291.44, 6331189, $295, $299.01, $290.32
08/22/2019, $296.93, 4977042, $298.65, $300.33, $293.15
08/21/2019, $297.81, 5689746, $301.61, $302.88, $296.2
08/20/2019, $298.99, 7352162, $304.57, $305, $297.6811
08/19/2019, $309.38, 4951733, $306.25, $311.75, $304.75
08/16/2019, $302.8, 7090757, $298.86, $303.55, $296.27
08/15/2019, $295.76, 9683384, $299.5, $300.63, $288
08/14/2019, $299.11, 7355753, $308.01, $308.41, $298.005
08/13/2019, $312.28, 5338761, $309.77, $316.43, $308.16
08/12/2019, $310.83, 6531722, $305.46, $312.89, $303.24
08/09/2019, $308.93, 5349059, $313.74, $316.64, $305.68
08/08/2019, $315.9, 5905865, $311.03, $316.3648, $306.63
08/07/2019, $304.29, 9322433, $302.56, $305, $296.8126
08/06/2019, $310.1, 6179090, $310.58, $311.88, $305.3
08/05/2019, $307.63, 8692485, $310.96, $313.4179, $304.677
08/02/2019, $318.83, 6280343, $317.49, $319.41, $311.8
08/01/2019, $319.5, 6563156, $324.25, $328.58, $318.735
07/31/2019, $322.99, 6259494, $325.16, $331.77, $318.53
07/30/2019, $325.93, 6029320, $329.2, $329.65, $323.23
07/29/2019, $332.7, 5782817, $335.98, $336.4, $328.77
07/26/2019, $335.78, 10847500, $328.79, $336, $327.5
07/25/2019, $326.46, 10798500, $318.86, $327.69, $316.3
07/24/2019, $317.94, 11961820, $310.51, $319.99, $307.25
07/23/2019, $307.3, 9171068, $311.44, $313.5, $306
07/22/2019, $310.62, 17725330, $312, $314.54, $305.81
07/19/2019, $315.1, 16302480, $323.4, $325.85, $314.23
07/18/2019, $325.21, 31305900, $323.76, $329.85, $320.3
07/17/2019, $362.44, 13639540, $366.25, $366.5, $361.75
07/16/2019, $365.99, 5863222, $370.09, $371.34, $364.92
07/15/2019, $366.6, 7944680, $372.94, $373.68, $362.3
07/12/2019, $373.25, 6636937, $378.68, $379.7375, $372.7917
07/11/2019, $379.5, 4336287, $381.1, $384.54, $378.8
07/10/2019, $381, 5878790, $382.77, $384.3399, $377.4
07/09/2019, $379.93, 6932822, $379.06, $384.76, $377.5
07/08/2019, $376.16, 3113402, $378.19, $378.25, $375.36
07/05/2019, $380.55, 3732162, $378.29, $381.4, $375.555
07/03/2019, $381.72, 3799009, $376.69, $381.99, $375.84
07/02/2019, $375.43, 3628962, $374.89, $376, $370.31
07/01/2019, $374.6, 5001518, $373.5, $376.66, $372
06/28/2019, $367.32, 4592706, $370.26, $371.5448, $364.87
06/27/2019, $370.02, 4138575, $363.2, $370.85, $363.2
06/26/2019, $362.2, 3669677, $361.6, $366.79, $361.6
06/25/2019, $360.3, 5750383, $370.75, $370.9994, $358.29
06/24/2019, $371.04, 4830240, $370.27, $375, $370.2
06/21/2019, $369.21, 7448356, $365, $371.45, $365
06/20/2019, $365.21, 5899467, $365.91, $370.12, $361.215
06/19/2019, $363.52, 5667156, $361.72, $364.74, $356.12
06/18/2019, $357.12, 5428542, $355.57, $361.5, $353.75
06/17/2019, $350.62, 5358219, $342.69, $351.77, $342.06
06/14/2019, $339.73, 5019011, $341.63, $343.4, $336.155
06/13/2019, $343.43, 6209347, $347.23, $348.5, $339.25
06/12/2019, $345.56, 4584704, $351.82, $353.61, $343.23
06/11/2019, $351.27, 5396712, $355, $357.58, $348.5
06/10/2019, $352.01, 7810261, $363.65, $367.1, $349.285
06/07/2019, $360.87, 4777321, $357.39, $365.15, $355.69
06/06/2019, $357.13, 3709955, $354.84, $358.21, $352.09
06/05/2019, $355.73, 5020081, $354.38, $357.88, $348.71
06/04/2019, $353.4, 7891632, $345, $353.61, $343.25
06/03/2019, $336.63, 7849589, $343.56, $347.66, $332.65
05/31/2019, $343.28, 5023449, $347.22, $349.34, $342.92
05/30/2019, $351.85, 4008042, $350.55, $354.21, $348.3
05/29/2019, $349.19, 5658913, $353.6, $353.8476, $345.9
05/28/2019, $354.78, 4717144, $354.39, $361.2, $353.64
05/24/2019, $354.39, 3830963, $355.41, $359.44, $353.791
05/23/2019, $352.21, 5630443, $355.5, $357.42, $347.7
05/22/2019, $359.73, 6229389, $358.01, $370.46, $357.3
05/21/2019, $354.27, 4026369, $350.95, $356.425, $349.93
05/20/2019, $348.11, 4621515, $351.23, $352.418, $345.4
05/17/2019, $354.45, 4725448, $356.39, $359.62, $353.785
05/16/2019, $359.31, 6441463, $356.37, $364, $353.935
05/15/2019, $354.99, 6340118, $343.34, $356.5, $341.39
05/14/2019, $345.61, 5353029, $348.71, $349.95, $342.5
05/13/2019, $345.26, 8026697, $352.29, $354.26, $343.1
05/10/2019, $361.04, 5657123, $361.62, $365.2578, $353.06
